Name,DOB,Country,Matches,PlayerID,Overs,Average,Wickets,Economy,Strike Rate,Top,Middle,Bottom
"Athey, Charles W J",27/09/1957,England,23,102,-1,22.98,-1,-1,-1,-1,-1,-1
Atif Rauf,03/03/1964,Pakistan,1,1974,-1,12.5,-1,-1,-1,-1,-1,-1
Atiq-Uz-Zaman,20/07/1975,Pakistan,1,2214,-1,13,-1,-1,-1,-1,-1,-1
"Austin, Ryan A",15/11/1981,West Indies,2,3709,54.2,77.5,0,2.85,163,0,100,0
"Azad, Kirtivardhan",02/01/1959,India,7,108,125,124.33,0,2.98,250,100,0,0
Azam Khan,01/03/1969,Pakistan,1,2070,-1,14,-1,-1,-1,-1,-1,-1
Azeem Hafeez,29/07/1963,Pakistan,18,684,725.1,34.98,0,3.04,69.06,31.7,42.9,25.4
Azhar Ali,19/02/1985,Pakistan,45,3816,57,53.5,0,3.75,85.5,50,25,25
Azhar Khan,07/09/1955,Pakistan,1,927,3,2,0,0.67,18,0,100,0
Azhar Mahmood,28/02/1975,Pakistan,21,2113,502.3,35.95,0,2.79,77.31,30.8,38.5,30.8
"Azharuddin, Mohammad",08/02/1963,India,99,109,2.1,-1,0,7.38,-1,-1,-1,-1
"Bacher, Adam M",29/10/1973,South Africa,19,2086,1,-1,0,4,-1,-1,-1,-1
"Badani, Hemang K",14/11/1976,India,4,2625,8,-1,0,2.13,-1,-1,-1,-1
"Badrinath, Subramaniam",30/08/1980,India,2,3608,-1,21,-1,-1,-1,-1,-1,-1
"Bahutule, Sairaj V",06/01/1973,India,2,2626,61,67.67,0,3.33,122,0,100,0
"Bailey, George J",07/09/1982,Australia,5,3929,-1,26.14,-1,-1,-1,-1,-1,-1
"Bailey, Robert J",28/10/1963,England,4,116,-1,14.88,-1,-1,-1,-1,-1,-1
"Bairstow, Jonathan M",26/09/1989,England,21,3900,-1,28.38,-1,-1,-1,-1,-1,-1
"Baker, Lionel S",06/09/1984,West Indies,4,3627,110,79,0,3.59,132,40,60,0
"Balaji, Lakshmipathy",27/09/1981,India,8,3057,292.4,37.19,0,3.43,65.04,44.4,37,18.5
"Ballance, Gary S",22/11/1989,England,15,4234,2,-1,0,2.5,-1,-1,-1,-1
"Bandara, C Malinga",31/12/1979,Sri Lanka,8,2144,192,39.56,0,3.3,72,18.8,56.3,25
"Bandarathilake, M R C Niroshan",16/05/1975,Sri Lanka,7,2143,287,30.35,0,2.43,74.87,34.8,47.8,17.4
"Banerjee, Subroto T",13/02/1969,India,1,124,18,15.67,0,2.61,36,66.7,33.3,0
"Bangar, Sanjay B",11/10/1972,India,12,2999,127,49,0,2.7,108.86,28.6,57.1,14.3
"Banks, Omari A C",01/01/1978,West Indies,10,3115,400.1,48.82,0,3.42,85.75,25,57.1,17.9
"Baptiste, Eldine A E",12/03/1960,West Indies,10,129,227,35.19,0,2.48,85.13,31.3,50,18.8
"Barath, Adrian B",14/04/1990,West Indies,15,3739,1,-1,0,4,-1,-1,-1,-1
"Barnett, Kim J",17/07/1960,England,4,144,6,-1,0,5.33,-1,-1,-1,-1
Basit Ali,13/12/1970,Pakistan,19,38,1,-1,0,6,-1,-1,-1,-1
"Batty, Gareth J",13/10/1977,England,7,3064,232.2,66.64,0,3.15,126.73,27.3,45.5,27.3
"Baugh, Carlton S",23/06/1982,West Indies,21,3113,-1,17.94,-1,-1,-1,-1,-1,-1
"Bavuma, Temba",17/05/1990,South Africa,6,4370,-1,24.17,-1,-1,-1,-1,-1,-1
Bazid Khan,25/03/1981,Pakistan,1,3230,-1,16,-1,-1,-1,-1,-1,-1
"Beer, Michael A",09/06/1984,Australia,2,3843,67.4,59.33,0,2.63,135.33,33.3,66.7,0
"Bell, Ian R",11/04/1982,England,118,3207,18,76,0,4.22,108,0,100,0
"Bell, Matthew D",25/02/1977,New Zealand,18,2163,-1,24.3,-1,-1,-1,-1,-1,-1
"Benjamin, Joseph E",02/02/1961,England,1,1997,28,20,0,2.86,42,25,25,50
"Benjamin, Kenneth C G",08/04/1967,West Indies,26,168,855.2,30.27,1,3.26,55.78,32.6,41.3,26.1
"Benjamin, Winston K M",31/12/1964,West Indies,21,169,615.4,27.02,0,2.68,60.56,27.9,50.8,21.3
"Benn, Sulieman J",22/07/1981,West Indies,26,3543,1220.1,39.1,0,2.79,84.15,27.6,42.5,29.9
"Bennett, Hamish K",22/02/1987,New Zealand,1,3829,15,-1,0,3.13,-1,-1,-1,-1
"Bennett, Murray J",06/10/1956,Australia,3,170,110.5,54.17,0,2.93,110.83,16.7,50,33.3
"Benson, Mark R",06/07/1958,England,1,171,-1,25.5,-1,-1,-1,-1,-1,-1
"Bernard, David E",19/07/1981,West Indies,3,3112,43,46.25,0,4.3,64.5,75,25,0
"Bess, Brandon J",13/12/1987,West Indies,1,3800,13,92,0,7.08,78,0,100,0
"Best, Carlisle A",14/05/1959,West Indies,8,173,5,-1,0,4.2,-1,-1,-1,-1
"Best, Tino L",26/08/1981,West Indies,25,3114,619.2,40.19,0,3.7,65.19,38.6,43.9,17.5
"Bevan, Michael G",08/05/1970,Australia,18,2002,214.1,24.24,1,3.28,44.31,13.8,34.5,51.7
"Bhardwaj, Vijay R R",15/08/1975,India,3,2188,41.1,107,0,2.6,247,0,0,100
"Bhat, Adwai R",16/04/1958,India,2,176,73,37.75,0,2.07,109.5,0,100,0
"Bichel, Andrew J",27/08/1970,Australia,19,2089,556,32.24,0,3.36,57.52,19,51.7,29.3
"Bicknell, Martin P",14/01/1969,England,4,177,180,38.79,0,3.02,77.14,28.6,50,21.4
Bilawal Bhatti,17/09/1991,Pakistan,2,4250,73,47.67,0,3.92,73,33.3,50,16.7
"Binny, Roger M H",19/07/1955,India,27,181,478.2,32.64,0,3.21,61.06,40.4,27.7,31.9
"Binny, Stuart T R",03/06/1984,India,6,4089,75,86,0,3.44,150,33.3,66.7,0
"Bird, Jackson M",11/12/1986,Australia,3,3992,105.3,23.31,0,2.87,48.69,38.5,23.1,38.5
"Bishoo, Devendra",06/11/1985,West Indies,15,3852,668.1,38.05,0,3.13,72.89,20,47.3,32.7
"Bishop, Ian R",24/10/1967,West Indies,43,185,1411.1,24.29,0,2.77,52.59,36,35.4,28.6
"Black, Marlon I",07/06/1975,West Indies,6,2250,159,49.75,0,3.75,79.5,41.7,33.3,25
"Blackwell, Ian D",10/06/1978,England,1,3045,19,-1,0,3.74,-1,-1,-1,-1
"Blackwood, Jermaine",20/11/1991,West Indies,14,4312,38.3,78.5,0,4.08,115.5,0,100,0
"Blain, Tony E",17/02/1962,New Zealand,11,190,-1,26.82,-1,-1,-1,-1,-1,-1
"Blakey, Richard J",15/01/1967,England,2,192,-1,1.75,-1,-1,-1,-1,-1,-1
"Blewett, Gregory S",29/10/1971,Australia,46,2013,239.2,51.43,0,3.01,102.57,42.9,50,7.1
"Blignaut, Arnoldus M",01/08/1978,Zimbabwe,19,2637,529,37.06,0,3.71,59.89,32.1,28.3,39.6
"Boje, Nico",20/03/1973,South Africa,43,2210,1436.4,42.65,0,2.97,86.2,33,46,21
"Bollinger, Douglas E",24/07/1981,Australia,12,3631,400.1,25.92,0,3.24,48.02,40,34,26
"Bond, Shane E",07/06/1975,New Zealand,18,2996,562,22.09,1,3.42,38.76,37.9,44.8,17.2
"Boon, David C",29/12/1960,Australia,107,205,6,-1,0,2.33,-1,-1,-1,-1
"Bopara, Ravinda S",04/05/1985,England,13,3460,72.2,290,0,4.01,434,0,100,0
"Border, Allan R",27/07/1955,Australia,156,209,651.5,39.1,1,2.28,102.79,35.9,35.9,28.2
"Borthwick, Scott G",19/04/1990,England,1,3882,13,20.5,0,6.31,19.5,25,25,50
"Bosch, Tertius",14/03/1966,South Africa,1,211,39.3,34.67,0,2.63,79,66.7,0,33.3
"Botha, Johan",02/05/1982,South Africa,5,3329,169.3,33.71,0,3.38,59.82,23.5,58.8,17.6
"Botham, Ian T",24/11/1955,England,102,212,3549.3,28.4,4,2.99,56.96,30.8,38.4,30.8
"Boucher, Mark V",03/12/1976,South Africa,147,2116,1.2,6,0,4.5,8,0,100,0
"Boult, Trent A",22/07/1989,New Zealand,37,3924,1344.4,28.28,1,2.99,56.82,39.4,31.7,28.9
"Bracewell, Brendon P",14/09/1959,New Zealand,6,220,166.2,41.79,0,3.39,74,50,21.4,28.6
"Bracewell, Douglas A J",28/09/1990,New Zealand,24,3911,744.2,37.3,0,3.36,66.66,37.3,38.8,23.9
"Bracewell, John G",15/04/1958,New Zealand,41,221,1400.3,35.81,1,2.61,82.38,28.4,42.2,29.4
"Bracken, Nathan W",12/09/1977,Australia,5,2640,185,42.08,0,2.73,92.5,50,33.3,16.7
"Bradburn, Grant E",26/05/1966,New Zealand,7,222,144.4,76.67,0,3.18,144.67,33.3,50,16.7
"Bradshaw, Ian D R",09/07/1974,West Indies,5,3174,170.1,60,0,3.17,113.44,55.6,33.3,11.1
"Brain, David H",04/10/1964,Zimbabwe,9,226,301.4,30.5,0,3.03,60.33,43.3,26.7,30
"Brandes, Eddo A",05/03/1963,Zimbabwe,10,227,332.4,36.58,0,2.86,76.77,38.5,38.5,23.1
"Brathwaite, Carlos R",18/07/1988,West Indies,1,3908,36,139,0,3.86,216,100,0,0
"Brathwaite, Kraigg C",02/12/1992,West Indies,26,3863,91.1,37,0,3.25,68.38,25,37.5,37.5
"Bravo, Darren M",06/02/1989,West Indies,41,3703,1,-1,0,2,-1,-1,-1,-1
"Bravo, Dwayne J J",07/10/1983,West Indies,40,3166,1077.4,39.84,0,3.18,75.19,32.6,43,24.4
"Breese, Gareth R",09/01/1976,West Indies,1,3053,31.2,67.5,0,4.31,94,0,100,0
"Brent, Gary B",13/01/1976,Zimbabwe,4,2194,136.2,44.86,0,2.3,116.86,42.9,42.9,14.3
"Bresnan, Timothy T",28/02/1985,England,23,3396,779,32.74,0,3.03,64.92,31.9,38.9,29.2
"Briant, Gavin A",11/04/1969,Zimbabwe,1,233,-1,8.5,-1,-1,-1,-1,-1,-1
"Broad, Brian C",29/09/1957,England,25,237,1,-1,0,4,-1,50,50,0
"Broad, Stuart C J",24/06/1986,England,88,3434,3034.2,28.92,2,3.04,57.07,31.9,40.7,27.4
"Brown, Simon J E",29/06/1969,England,1,2063,33,69,0,4.18,99,50,50,0
"Brown, Vaughan R",03/11/1959,New Zealand,2,249,57,176,0,3.09,342,0,0,100
"Browne, Courtney O",07/12/1970,West Indies,20,2020,-1,16.13,-1,-1,-1,-1,-1,-1
"Brownlie, Dean G",30/07/1984,New Zealand,14,3840,11,52,0,4.73,66,100,0,0
"Bruk-Jackson, Glen K",25/04/1969,Zimbabwe,2,1982,-1,9.75,-1,-1,-1,-1,-1,-1
"Burmester, Mark G",24/01/1968,Zimbabwe,3,261,72.4,75.67,0,3.12,145.33,33.3,0,66.7
"Burns, Joseph A",06/09/1989,Australia,7,4369,-1,44.38,-1,-1,-1,-1,-1,-1
"Butchart, Iain P",09/05/1960,Zimbabwe,1,2018,3,-1,0,3.67,-1,-1,-1,-1
"Butcher, Mark A",23/08/1972,England,71,2099,150.1,36.07,0,3.6,60.07,40,26.7,33.3
"Butler, Ian G",24/11/1981,New Zealand,8,3011,228,36.83,0,3.88,57,25,25,50
"Buttler, Joseph C",08/09/1990,England,15,3888,-1,30,-1,-1,-1,-1,-1,-1
"Butts, Clyde G",08/07/1957,West Indies,7,274,259,59.5,0,2.3,155.4,10,70,20
"Caddick, Andrew R",21/11/1968,England,62,278,2259.4,29.91,1,3.1,57.94,38,38,23.9
"Cairns, Christopher L",13/06/1970,New Zealand,62,280,1949.4,29.4,1,3.29,53.66,38.5,30.3,31.2
"Callen, Ian W",02/05/1955,Australia,1,282,55,31.83,0,2.6,73.33,16.7,50,33.3
"Campbell, Alistair D R",23/09/1972,Zimbabwe,60,289,11,-1,0,2.55,-1,-1,-1,-1
"Campbell, Gegory D",10/03/1964,Australia,4,290,158.3,38.69,0,3.17,73.15,23.1,46.2,30.8
"Campbell, Sherwin L",01/11/1970,West Indies,52,2015,-1,32.38,-1,-1,-1,-1,-1,-1
"Capel, David J",06/02/1963,England,15,292,333.2,50.67,0,3.19,95.24,19,66.7,14.3
"Carberry, Michael A",29/09/1980,England,6,3774,-1,28.75,-1,-1,-1,-1,-1,-1
"Carlisle, Stuart V",10/05/1972,Zimbabwe,37,2016,-1,26.92,-1,-1,-1,-1,-1,-1
"Casson, Beau",07/12/1982,Australia,1,3551,32,43,0,4.03,64,33.3,33.3,33.3
"Chakabva, Regis W",20/09/1987,Zimbabwe,8,3622,-1,33,-1,-1,-1,-1,-1,-1
"Chameera, P V Dushmantha",11/01/1992,Sri Lanka,4,4380,126.5,28.28,0,4.01,42.28,33.3,33.3,33.3
"Chandana, Umagiliya D U",07/05/1972,Sri Lanka,16,2177,447.3,41.49,1,3.43,72.57,21.6,35.1,43.2
"Chanderpaul, Shivnarine",16/08/1974,West Indies,164,1979,290,98.11,0,3.04,193.33,11.1,44.4,44.4
"Chandimal, L Dinesh",18/11/1989,Sri Lanka,25,3779,-1,45.88,-1,-1,-1,-1,-1,-1
"Chandrika, Rajendra",08/08/1989,West Indies,3,4431,-1,14.5,-1,-1,-1,-1,-1,-1
"Chari, Brian B",14/02/1992,Zimbabwe,2,4336,2,-1,0,4.5,-1,-1,-1,-1
"Chatara, Tendai L",28/02/1991,Zimbabwe,7,3792,241.1,29.25,0,2.43,72.35,35,40,25
"Chattergoon, Sewnarine",03/04/1981,West Indies,4,3358,-1,18.14,-1,-1,-1,-1,-1,-1
"Chauhan, Rajesh K",19/12/1966,India,21,320,791.3,39.51,0,2.35,101.04,34,44.7,21.3
"Chawla, Piyush P",24/12/1988,India,3,3351,82,38.57,0,3.29,70.29,14.3,57.1,28.6
"Chigumbura, Elton",14/03/1986,Zimbabwe,14,3167,301,46,0,3.21,86,33.3,47.6,19
"Chopra, Akash",19/09/1977,India,10,3136,-1,23,-1,-1,-1,-1,-1,-1
"Chopra, Nikhil",26/12/1973,India,1,2212,24,-1,0,3.25,-1,-1,-1,-1
"Clark, Stuart R",28/09/1975,Australia,24,3326,857.4,23.86,0,2.62,54.74,41.5,37.2,21.3
"Clarke, Michael J",02/04/1981,Australia,115,3067,405.5,38.19,0,2.92,78.55,16.1,38.7,45.2
"Clarke, Rikki",29/09/1981,England,2,3123,29,15,0,2.07,43.5,25,75,0
"Collingwood, Paul D",26/05/1976,England,68,2973,317.3,59.88,0,3.21,112.06,11.8,52.9,35.3
"Collins, Pedro T",12/08/1976,West Indies,32,2172,1160.4,34.63,0,3.16,65.7,39.6,32.1,28.3
"Collymore, Corey D",21/12/1977,West Indies,30,2180,1056.1,32.3,1,2.84,68.14,34.4,47.3,18.3
"Commins, John B",19/02/1965,South Africa,3,2011,-1,25,-1,-1,-1,-1,-1,-1
"Compton, Nicholas R D",26/06/1983,England,10,3977,-1,36.06,-1,-1,-1,-1,-1,-1
"Cook, Alastair N",25/12/1984,England,123,3349,3,7,0,2.33,18,0,0,100
"Cook, Nicholas G B",17/06/1956,England,15,358,695.4,32.48,1,2.43,80.27,38.5,26.9,34.6
"Cook, Simon H",29/01/1972,Australia,2,2119,37.2,20.29,0,3.8,32,14.3,28.6,57.1
"Copeland, Trent A",14/03/1986,Australia,3,3886,108,37.83,0,2.1,108,33.3,66.7,0
"Cork, Dominic G",07/08/1971,England,37,2024,1279.4,29.82,0,3.05,58.61,38.2,38.9,22.9
"Cottrell, Sheldon S",19/08/1989,West Indies,2,4249,46,98,0,4.26,138,100,0,0
"Coventry, Charles K",08/03/1983,Zimbabwe,2,3128,-1,22,-1,-1,-1,-1,-1,-1
"Cowan, Edward J M",16/06/1982,Australia,18,3926,-1,31.28,-1,-1,-1,-1,-1,-1
"Cowans, Norman G",17/04/1961,England,19,373,575.2,39.27,0,3.48,67.69,41.2,45.1,13.7
"Cowdrey, Christopher S",20/10/1957,England,6,374,66.3,77.25,0,4.65,99.75,25,75,0
"Craig, Mark D",23/03/1987,New Zealand,13,4308,529.1,44.22,1,3.84,69.02,30.4,34.8,34.8
"Crawley, John P",21/09/1971,England,37,1996,-1,34.62,-1,-1,-1,-1,-1,-1
"Cremer, Alexander G",19/09/1986,Zimbabwe,11,3246,269.2,45.63,0,4.07,67.33,16.7,41.7,41.7
"Crocker, Gary J",16/05/1962,Zimbabwe,3,389,76,72.33,0,2.86,152,66.7,33.3,0
"Croft, Robert D B",25/05/1970,England,21,2064,769.5,37.24,0,2.37,94.27,34.7,34.7,30.6
"Cronje, Wessel J",25/09/1969,South Africa,68,392,633.2,29.95,0,2.03,88.37,14,55.8,30.2
"Crowe, Jeffrey J",14/09/1958,New Zealand,39,393,3,-1,0,3,-1,-1,-1,-1
"Crowe, Martin D",22/09/1962,New Zealand,77,394,229.3,48.29,0,2.95,98.36,57.1,35.7,7.1
"Cuffy, Cameron E",08/02/1970,West Indies,15,2007,561,33.84,0,2.59,78.28,23.3,41.9,34.9
"Cullen, Daniel J",10/04/1984,Australia,1,3356,14,54,0,3.86,84,0,0,100
"Cullinan, Daryll J",04/03/1967,South Africa,70,395,20,35.5,0,3.55,60,0,0,100
"Cumming, Craig D",31/08/1975,New Zealand,11,3153,-1,25.94,-1,-1,-1,-1,-1,-1
"Cummins, Anderson C",07/05/1966,West Indies,5,396,103,42.75,0,3.32,77.25,0,75,25
"Cummins, Patrick J",08/05/1993,Australia,1,3909,44,16.71,0,2.66,37.71,28.6,28.6,42.9
"Curtis, Timothy S",15/01/1960,England,5,399,3,-1,0,2.33,-1,-1,-1,-1
"Dabengwa, Keith M",17/08/1980,Zimbabwe,3,3294,73,49.8,0,3.41,87.6,0,40,60
"Dahiya, Vijay",10/05/1973,India,2,2247,-1,-1,-1,-1,-1,-1,-1,-1
"Dale, Adam C",30/12/1968,Australia,2,2140,58,31.17,0,3.22,58,33.3,50,16.7
"Dalpat, Anil",20/09/1963,Pakistan,9,405,-1,15.18,-1,-1,-1,-1,-1,-1
"Daniel, Wayne W",16/01/1956,West Indies,10,409,292.2,25.28,0,3.11,48.72,19.4,38.9,41.7
"Darling, Warrick M",01/05/1957,Australia,14,412,-1,26.81,-1,-1,-1,-1,-1,-1
"Das, Shiv S",05/11/1977,India,23,2243,11,-1,0,3.18,-1,-1,-1,-1
"Dasgupta, Deep",07/06/1977,India,8,2989,-1,28.67,-1,-1,-1,-1,-1,-1
"Dassanayake, Pubudu B",11/07/1970,Sri Lanka,11,1970,-1,13.07,-1,-1,-1,-1,-1,-1
"Davis, Heath Te-Ihi-O-Te-Ra",30/11/1971,New Zealand,5,1992,168.2,29.35,0,2.96,59.41,11.8,52.9,35.3
"Davis, Simon P",08/11/1959,Australia,1,418,25,-1,0,2.8,-1,-1,-1,-1
"Davis, Winston W",18/09/1958,West Indies,15,419,462.1,32.71,0,3.18,61.62,26.7,40,33.3
"Dawson, Alan C",27/11/1969,South Africa,2,2663,42,23.4,0,2.79,50.4,40,20,40
"Dawson, Richard K J",04/08/1980,England,7,3002,186,61.55,0,3.64,101.45,36.4,36.4,27.3
"De Alwis, Ronald G",15/02/1959,Sri Lanka,11,422,-1,8,-1,-1,-1,-1,-1,-1
"de Bruyn, Zander",05/07/1975,South Africa,3,3235,36,30.67,0,2.56,72,0,100,0
"De Freitas, Phillip A J",18/02/1966,England,44,425,1639.4,33.57,0,2.87,70.27,39.3,35.7,25
"De Groen, Richard P",05/08/1962,New Zealand,5,426,176.4,45.91,0,2.86,96.36,27.3,63.6,9.1
"de Kock, Quinton",17/12/1992,South Africa,6,3988,-1,33,-1,-1,-1,-1,-1,-1
"de Lange, Marchant",13/10/1990,South Africa,2,3927,74.4,30.78,0,3.71,49.78,22.2,33.3,44.4
"De Mel, Ashantha L F",09/05/1959,Sri Lanka,17,427,586.2,36.95,0,3.72,59.63,45.8,39,15.3
"De Saram, Samantha I",02/09/1973,Sri Lanka,4,2196,-1,23.4,-1,-1,-1,-1,-1,-1
"de Silva, Ashley M",03/12/1963,Sri Lanka,3,428,-1,3.33,-1,-1,-1,-1,-1,-1
